Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,U234,92,234,0,0.000166,g/gHMi,0.166,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,U235,92,235,0,0.0088,g/gHMi,8.8,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,U236,92,236,0,0.00381,g/gHMi,3.81,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,U238,92,238,0,0.963,g/gHMi,963,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Other,J,Ci(cm243+cm244)/gHMi,,,,0.00125,,,,1,4.1 %
Cooper-1,BWR,29.37 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|M,Activity,M,I129,53,129,0,2.75E-8,Ci/gUi,0.1557,mg/gUi,1,2.8 %
Cooper-1,BWR,29.55 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|N,Activity,N,C14,6,14,0,4.06E-7,Ci/gUi,0.00009064,mg/gUi,1,5.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Am241,95,241,0,0.000985,Ci/gHMi,0.2873,mg/gUi,1,4.9 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Cs135,55,135,0,4.89E-7,Ci/gHMi,0.4244,mg/gUi,1,14 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Cs137,55,137,0,0.0777,Ci/gHMi,0.8950,mg/gUi,1,3.5 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Np237,93,237,0,2.68E-7,Ci/gHMi,0.3810,mg/gUi,1,1.9 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Se79,34,79,0,5.1E-8,Ci/gHMi,0.003771,mg/gUi,1,4.9 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Activity,U,Sn126,50,126,0,1.66E-7,Ci/gHMi,0.01345,mg/gUi,1,10.2 %
